id,condition,type,product,store,online_shopping_1,online_shopping_2,online_shopping_3,popular_products_1,popular_products_2,popular_products_3,popular_products_4,popular_products_5,popular_products_6,attitude_1,attitude_2,attitude_3,attitude_4,attitude_5,attitude_6,attitude_7,attitude_8,attitude_9,store_familiarity_1,store_familiarity_2,store_familiarity_3,fomo_1,fomo_2,fomo_3,fomo_4,fomo_5,fomo_6,fomo_7,fomo_8,truth_1,truth_2,truth_3,truth_4,truth_5,truth_6,insta_attitude_1,insta_attitude_2,insta_attitude_3,insta_attitude_4,insta_attitude_5,insta_attitude_6,participation_1,participation_2,participation_3,participation_4,participation_5,participation_6,age,gender,race,education,income
3528,priming,hedonic,wall clock,IKEA,7,6,7,7,5,5,7,4,7,4,7,7,3,4,7,6,7,7,7,7,4,6,1,6,5,2,2,2,2,4,7,7,7,7,5,7,7,7,7,6,7,1,1,4,6,4,4,32,Female,Black or African American,Professional degree,-99
1800,priming,hedonic,wall clock,The Home Depot,5,6,6,6,4,4,5,5,6,4,4,4,5,5,4,3,3,3,5,5,5,3,4,4,4,3,4,4,5,4,5,3,4,4,5,4,5,4,6,5,4,2,2,2,1,1,2,23,Female,Asian,Professional degree,-99
2588,priming,hedonic,wall clock,IKEA,6,6,6,6,6,7,7,7,5,7,5,6,7,4,6,7,6,6,7,7,7,3,4,6,7,6,7,7,7,6,5,6,7,6,5,7,6,6,7,7,7,6,5,5,6,4,5,33,Male,Caucasian,Professional degree,-99
5220,no priming,utilitarian,house plant,IKEA,7,6,7,1,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,1,1,1,1,5,1,5,4,6,7,1,7,7,7,7,1,1,1,6,6,6,28,Male,Hispanic,Associate degree,"10,000 USD - 49,999 USD"
5266,no priming,hedonic,house plant,The Home Depot,5,7,5,7,6,6,7,6,7,7,5,6,5,7,7,5,6,7,5,5,5,3,3,5,6,2,3,5,5,5,6,6,5,5,5,5,5,5,4,5,3,3,3,4,3,4,3,24,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
5617,no priming,utilitarian,house plant,IKEA,7,7,7,7,7,7,7,7,7,5,5,6,6,6,6,6,4,6,7,7,7,3,5,5,5,2,2,3,3,7,7,7,7,7,7,6,7,7,6,6,6,6,4,4,4,4,4,27,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
5933,no priming,hedonic,house plant,The Home Depot,6,7,7,7,7,7,7,7,7,4,6,4,5,6,4,5,6,7,5,3,6,5,3,4,3,3,3,5,5,4,3,5,5,5,5,5,5,5,4,4,5,4,5,4,5,4,5,25,Male,Mixed,Associate degree,"10,000 USD - 49,999 USD"
6131,priming,utilitarian,house plant,IKEA,5,6,5,5,6,5,5,6,5,6,6,6,6,6,6,6,6,6,4,4,4,2,2,2,2,2,2,2,2,4,5,3,4,4,4,4,3,3,3,4,3,3,3,4,4,4,4,21,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
6255,no priming,hedonic,house plant,The Home Depot,1,4,2,5,6,7,5,5,5,1,1,4,4,4,4,4,3,5,7,4,5,2,2,1,1,1,1,7,7,1,1,1,1,1,1,7,6,7,2,4,7,3,2,2,5,2,4,21,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
6277,no priming,hedonic,house plant,IKEA,3,2,4,2,2,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,7,2,6,2,2,3,2,4,4,1,1,1,4,4,4,5,3,4,4,4,4,1,2,3,4,5,6,25,Male,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
6384,no priming,utilitarian,house plant,The Home Depot,5,5,5,5,5,6,4,4,6,5,4,4,5,5,5,4,2,5,6,5,5,5,6,6,5,4,3,5,6,4,5,4,6,4,5,6,6,7,7,6,7,4,3,4,5,5,4,21,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
6485,no priming,hedonic,house plant,The Home Depot,2,3,3,3,4,4,4,2,2,5,4,5,4,5,5,4,4,6,5,5,6,5,5,5,5,3,4,5,5,5,6,5,5,5,5,5,6,5,6,6,5,4,3,4,3,3,3,34,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
6671,priming,utilitarian,house plant,IKEA,7,7,7,4,4,5,5,5,4,7,7,7,7,7,7,7,7,7,6,6,6,2,5,5,3,2,3,2,2,4,4,4,4,4,4,6,6,7,7,6,6,6,5,5,5,5,6,28,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
6726,no priming,utilitarian,house plant,The Home Depot,5,6,6,5,5,4,2,2,2,5,4,6,5,5,6,5,7,5,7,5,5,2,2,6,2,1,1,6,7,2,3,2,3,1,5,6,6,5,2,2,4,5,5,5,5,4,6,22,Female,Black or African American,Associate degree,"10,000 USD - 49,999 USD"
6750,priming,hedonic,house plant,IKEA,6,6,5,3,5,3,2,3,3,5,3,4,4,4,3,4,4,6,1,1,2,3,2,3,4,2,2,5,3,4,5,4,4,3,4,5,4,5,2,4,2,3,3,3,2,4,3,28,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
7136,priming,utilitarian,house plant,The Home Depot,3,3,4,6,7,7,5,4,5,6,6,6,6,6,6,7,7,7,4,4,4,6,6,4,6,5,5,6,6,2,1,2,3,1,2,3,5,4,2,4,4,2,2,2,2,2,2,29,Female,Caucasian,Associate degree,"10,000 USD - 49,999 USD"
